ID,loc,title,bedroom,bathroom,parking_space,Predicted House Price
2920,Ondo,Apartment,9,6,3,2486998.0
2042,Sokoto,Semi-detached duplex,2,1,2,1067880.6
10220,Delta,Detached duplex,1,1,2,1587356.5
11511,Anambra,Semi-detached duplex,3,1,5,1708178.6
8424,Oyo,Penthouse,5,3,1,2750289.5
5801,Kebbi,Mansion,4,4,4,2782292.5
10746,Adamawa,Bungalow,3,3,1,1593888.4
11018,Kaduna,Semi-detached duplex,2,1,2,1305188.2
816,Kebbi,Bungalow,1,2,2,692891.6
10413,Enugu,Flat,3,3,4,1476583.4
4471,Kebbi,Penthouse,7,7,5,2947842.8
1928,Kaduna,Semi-detached duplex,6,2,2,2157640.0
323,Delta,Townhouse,1,2,2,1566020.0
11548,Ondo,Terrace duplex,9,1,3,2785544.8
12564,Nasarawa,Mansion,1,3,5,2614656.8
5817,Enugu,Penthouse,6,6,3,3352800.0
1030,Sokoto,Bungalow,5,1,2,1313041.1
3888,Katsina,Townhouse,5,2,1,1870254.4
2427,Kwara,Penthouse,3,2,2,2030225.2
5378,Ebonyi,Penthouse,3,2,3,2260221.5
3701,Oyo,Detached duplex,1,2,5,1555900.2
4536,Niger,Terrace duplex,3,3,6,1537934.8
3799,Lagos,Flat,1,1,3,1342156.4
9431,Ebonyi,Semi-detached duplex,8,4,2,2738718.2
10878,Zamfara,Detached duplex,1,4,5,1264608.5
2028,Kaduna,Apartment,1,2,4,971916.7
5598,Kano,Detached duplex,5,2,2,1570279.2
5828,Bayelsa,Mansion,8,3,2,6024604.0
2842,Akwa Ibom,Apartment,5,1,4,1858480.5
279,Bauchi,Bungalow,8,2,6,2915261.5
4812,Borno,Flat,8,5,1,2582428.5
11406,Anambra,Flat,4,5,3,1904241.2
1086,Benue,Townhouse,2,4,2,1403756.5
2696,Adamawa,Flat,3,1,3,1685861.1
9220,Kaduna,Bungalow,1,6,6,1445853.1
1496,Kebbi,Townhouse,4,1,4,1287949.1
3737,Kano,Flat,2,2,4,913393.5
12211,Kebbi,Mansion,7,1,4,3282102.0
1556,Anambra,Penthouse,1,1,3,1863135.2
1066,Enugu,Bungalow,2,1,4,1276409.9
1836,Borno,Semi-detached duplex,1,7,5,1549640.8
10913,Zamfara,Apartment,4,1,5,1202682.4
1868,Taraba,Townhouse,3,1,2,1643646.6
12610,Kano,Detached duplex,9,6,5,3125257.5
12146,Kogi,Bungalow,5,3,5,1741831.2
2087,Benue,Flat,5,1,2,1479334.8
2916,Kano,Mansion,1,2,2,1338966.6
10188,Ondo,Detached duplex,6,3,5,2665341.5
3253,Ogun,Terrace duplex,1,1,3,1282649.0
9082,Ogun,Detached duplex,4,2,2,2138731.0
12493,Jigawa,Detached duplex,1,5,6,1344353.4
5898,Enugu,Townhouse,9,6,2,3285988.8
8409,Ebonyi,Apartment,9,6,1,2521553.2
5885,Ekiti,Apartment,7,3,3,2207773.0
1101,Abia,Semi-detached duplex,1,2,4,1434683.5
10071,Abia,Penthouse,4,2,6,2835350.5
11403,Akwa Ibom,Penthouse,9,2,6,4481744.5
728,Anambra,Cottage,2,1,1,1135911.0
11647,Kogi,Mansion,6,3,6,3767566.5
1931,Lagos,Bungalow,1,2,6,1387842.9
232,Taraba,Mansion,5,1,1,3301764.2
3988,Gombe,Terrace duplex,4,3,5,2636684.5
9416,Cross River,Semi-detached duplex,2,3,5,1832561.0
1866,Oyo,Flat,5,1,1,1733092.4
5685,Jigawa,Terrace duplex,9,6,3,2625273.2
2779,Oyo,Terrace duplex,4,2,5,2009627.0
3294,Borno,Detached duplex,9,6,1,3571502.2
1471,Plateau,Penthouse,4,2,3,2238798.8
2960,Benue,Apartment,4,1,3,1264637.4
10447,Anambra,Terrace duplex,3,4,3,1783729.5
1220,Taraba,Mansion,1,5,1,2406227.5
69,Kano,Townhouse,3,1,2,1138334.8
2002,Osun,Mansion,6,7,1,4554823.0
2784,Adamawa,Townhouse,6,1,6,2944825.0
1911,Ekiti,Penthouse,3,1,4,2341613.8
3023,Rivers,Cottage,1,1,1,1231503.9
3394,Sokoto,Penthouse,2,4,4,1710467.2
5920,Enugu,Flat,1,6,3,1324413.9
688,Lagos,Apartment,3,1,4,1539211.2
1511,Yobe,Detached duplex,4,4,6,3139303.2
3572,Kaduna,Penthouse,9,2,5,3823293.0
12401,Katsina,Terrace duplex,1,5,5,1395977.2
10756,Abia,Flat,9,6,1,2858062.8
4007,Zamfara,Detached duplex,5,1,2,1648566.5
3230,Imo,Cottage,2,1,1,1200011.8
12240,Ekiti,Terrace duplex,9,6,6,3199310.0
10539,Benue,Bungalow,6,1,4,1897660.5
3226,Bayelsa,Detached duplex,4,7,5,3043480.2
2280,Gombe,Terrace duplex,1,4,3,1888379.4
3650,Kwara,Penthouse,5,2,4,2334837.0
8540,Niger,Detached duplex,1,6,1,1350209.8
5847,Bauchi,Terrace duplex,3,6,5,2150876.8
6694,Cross River,Mansion,2,6,4,3814264.8
1336,Imo,Terrace duplex,2,2,1,1333016.6
2538,Bayelsa,Bungalow,3,2,4,1711428.4
7185,Rivers,Townhouse,6,3,6,3218565.2
8314,Kano,Flat,8,7,2,2182143.2
1204,Kebbi,Bungalow,2,2,4,892360.7
2020,Jigawa,Apartment,5,1,2,1211367.5
2468,Ogun,Flat,2,1,3,1355777.5
9909,Taraba,Townhouse,5,2,4,2050250.5
7935,Kebbi,Semi-detached duplex,1,7,5,1032274.06
1361,Kogi,Penthouse,2,2,2,1752185.9
6138,Plateau,Apartment,5,3,4,1552316.5
1914,Nasarawa,Mansion,5,3,5,4044094.8
11090,Kebbi,Penthouse,3,4,2,1768203.5
9320,Anambra,Terrace duplex,1,6,6,1579130.5
172,Bauchi,Penthouse,3,1,2,2687693.8
823,Gombe,Mansion,4,1,5,5767222.5
1189,Kogi,Semi-detached duplex,3,1,1,1314529.6
3768,Zamfara,Bungalow,1,2,4,885233.9
2993,Adamawa,Penthouse,3,1,3,2717817.2
12873,Taraba,Flat,3,6,5,1603912.6
1146,Ebonyi,Flat,2,2,1,1201789.2
19,Oyo,Cottage,4,1,4,1641777.6
2113,Yobe,Mansion,4,1,1,5403923.0
5132,Niger,Terrace duplex,8,3,2,2579152.8
11109,Sokoto,Bungalow,8,7,6,2322728.8
1562,Yobe,Bungalow,2,6,1,1684956.1
337,Ekiti,Flat,4,2,4,1639871.6
1981,Ondo,Mansion,7,2,1,4296488.0
546,Jigawa,Flat,5,2,4,1396552.5
7428,Yobe,Townhouse,6,4,3,3521208.5
230,Benue,Flat,1,2,4,979608.7
412,Abia,Townhouse,9,7,1,3309248.0
2205,Kogi,Bungalow,1,2,4,970550.5
9114,Ekiti,Townhouse,7,1,5,2799435.5
1803,Niger,Semi-detached duplex,7,2,6,2318822.2
1571,Ekiti,Mansion,5,1,2,3576598.0
12362,Rivers,Townhouse,8,6,4,3575039.5
8109,Ogun,Semi-detached duplex,2,1,6,1649738.2
3868,Ogun,Townhouse,8,1,4,3089816.5
3013,Ondo,Townhouse,5,2,2,2014725.6
1011,Imo,Cottage,1,1,3,1077296.4
12983,Yobe,Mansion,5,6,1,5453703.0
116,Cross River,Flat,4,2,2,1936456.5
3245,Abia,Terrace duplex,4,6,1,2112058.8
2253,Akwa Ibom,Mansion,5,1,1,3521897.0
10879,Nasarawa,Townhouse,9,4,2,3153914.2
2246,Ondo,Bungalow,3,2,1,1274287.5
11494,Enugu,Detached duplex,7,5,1,2924110.2
2259,Ekiti,Mansion,5,1,1,3586773.5
2199,Kwara,Terrace duplex,5,2,2,1660191.2
1692,Yobe,Townhouse,4,1,4,3042894.0
5772,Anambra,Flat,4,1,4,1676915.2
10182,Abia,Bungalow,8,1,6,2781947.5
5051,Zamfara,Penthouse,6,5,3,2715884.5
5033,Lagos,Detached duplex,8,5,6,3762277.8
11113,Taraba,Terrace duplex,7,1,5,2481953.5
51,Kebbi,Semi-detached duplex,6,7,5,2071984.2
5129,Gombe,Semi-detached duplex,1,6,6,2014297.2
1550,Ogun,Flat,3,2,1,1437576.0
616,Delta,Bungalow,7,5,2,2631745.8
10151,Plateau,Semi-detached duplex,8,7,5,2728093.0
6994,Rivers,Townhouse,8,1,2,3224922.2
5738,Yobe,Terrace duplex,8,7,6,3654423.8
5729,Oyo,Mansion,8,6,2,5372337.0
1122,Abia,Terrace duplex,1,1,1,1247460.2
3406,Gombe,Semi-detached duplex,3,2,3,2283434.0
2196,Kaduna,Semi-detached duplex,1,1,2,1093424.8
3768,Benue,Mansion,1,3,6,2328628.5
4432,Cross River,Detached duplex,2,6,4,2326413.2
2236,Sokoto,Bungalow,4,1,1,1202591.9
1743,Kaduna,Flat,7,6,3,2658479.8
2046,Benue,Mansion,1,2,2,2139742.8
781,Kebbi,Cottage,4,2,1,956662.4
1126,Kebbi,Flat,3,1,1,918698.0
10472,Enugu,Flat,9,2,6,2811561.0
3524,Zamfara,Townhouse,5,3,2,1785971.2
6922,Ogun,Apartment,4,2,2,1556833.9
6018,Abia,Flat,9,1,2,2743653.8
2973,Oyo,Terrace duplex,5,2,3,2096990.1
8323,Osun,Penthouse,9,2,1,3821681.8
576,Katsina,Apartment,5,1,3,1554317.8
3118,Osun,Detached duplex,1,1,1,1373388.8
5737,Kogi,Townhouse,9,2,5,3020899.0
4642,Enugu,Penthouse,9,7,1,4049509.5
8425,Ebonyi,Detached duplex,2,6,2,1793443.6
2245,Lagos,Penthouse,5,2,1,3002943.8
12248,Borno,Bungalow,1,7,5,1380283.5
2533,Kogi,Semi-detached duplex,1,2,4,1097735.6
3134,Adamawa,Cottage,4,2,3,1685349.9
5871,Sokoto,Townhouse,7,3,6,2370031.8
9331,Ogun,Detached duplex,4,3,6,2434127.0
959,Yobe,Penthouse,4,2,3,3844624.0
2753,Bayelsa,Flat,5,1,4,2158422.0
2887,Adamawa,Townhouse,4,6,5,2652068.0
11710,Edo,Townhouse,4,5,4,2742751.2
5279,Nasarawa,Penthouse,9,1,4,3708048.8
3249,Kano,Detached duplex,1,1,2,847028.94
9711,Borno,Flat,9,7,6,3080295.8
5061,Abia,Semi-detached duplex,7,2,6,2750410.2
2493,Rivers,Townhouse,1,2,4,1666190.0
627,Osun,Mansion,2,1,4,2904488.5
2618,Kano,Flat,1,2,4,738306.4
4698,Cross River,Bungalow,1,1,5,1285367.5
1575,Akwa Ibom,Bungalow,4,1,5,1879213.5
425,Kebbi,Cottage,4,2,4,980080.56
944,Zamfara,Semi-detached duplex,5,2,1,1473601.1
3508,Edo,Terrace duplex,2,3,5,1865265.1
3674,Kaduna,Penthouse,1,4,4,1745461.2
3351,Sokoto,Cottage,1,1,1,797537.1
1348,Yobe,Cottage,1,2,1,1862357.2
1421,Gombe,Bungalow,2,1,3,1815823.6
9134,Kaduna,Townhouse,1,1,1,1230650.4
6348,Oyo,Bungalow,7,4,2,2547600.2
1277,Kaduna,Bungalow,8,7,3,3029464.5
1152,Gombe,Detached duplex,1,2,1,2146483.5
7783,Oyo,Detached duplex,4,6,5,2545293.2
29,Benue,Mansion,4,1,1,2442945.5
11244,Bauchi,Semi-detached duplex,1,3,2,1494215.5
5924,Delta,Mansion,8,3,1,5128065.0
3001,Ondo,Penthouse,8,6,5,3693479.8
4587,Adamawa,Semi-detached duplex,5,2,3,2219434.5
8303,Delta,Penthouse,3,6,3,2801120.8
2439,Kebbi,Flat,6,2,2,1512222.5
3060,Kwara,Mansion,5,2,3,3099485.0
8575,Oyo,Mansion,9,6,5,5804268.5
11031,Imo,Flat,1,4,3,1232570.8
2056,Edo,Bungalow,8,3,3,3119001.8
8657,Kebbi,Apartment,4,7,1,1325616.9
7669,Rivers,Semi-detached duplex,4,3,3,2229860.0
371,Ebonyi,Mansion,2,2,3,2435301.8
3985,Niger,Bungalow,4,7,4,1724484.5
279,Rivers,Cottage,1,2,2,1386215.9
2964,Ondo,Apartment,5,2,3,1573601.2
5411,Katsina,Semi-detached duplex,1,2,5,1236349.8
4555,Osun,Townhouse,6,5,6,2757824.8
3310,Ebonyi,Mansion,4,1,2,3453678.5
2340,Niger,Semi-detached duplex,2,1,1,1162707.6
2139,Sokoto,Detached duplex,1,2,4,1099398.2
578,Kaduna,Townhouse,4,2,2,1799733.2
2263,Ondo,Cottage,1,1,1,981068.06
11168,Sokoto,Penthouse,9,6,5,3382172.2
8198,Zamfara,Bungalow,5,7,6,1905382.1
6174,Adamawa,Apartment,8,5,4,2802023.8
7566,Plateau,Townhouse,1,3,3,1209225.2
5106,Ondo,Penthouse,5,4,3,2748262.8
1977,Bauchi,Flat,6,6,2,2552624.8
5663,Kogi,Terrace duplex,8,6,5,2787511.2
1398,Ogun,Terrace duplex,4,1,4,1929453.4
2207,Imo,Apartment,3,1,3,1267335.8
1987,Kogi,Apartment,2,5,2,1093270.4
70,Akwa Ibom,Flat,4,2,2,1854357.1
12282,Bayelsa,Detached duplex,7,7,3,3625701.2
5913,Akwa Ibom,Mansion,7,6,4,5683688.0
6506,Borno,Flat,5,1,4,1858843.9
3957,Osun,Penthouse,3,1,4,2381807.5
881,Borno,Semi-detached duplex,2,2,1,1441628.9
1599,Abia,Flat,2,1,1,1255214.8
1989,Kaduna,Mansion,8,2,6,5213084.5
1719,Adamawa,Semi-detached duplex,3,2,4,1891789.8
3669,Gombe,Semi-detached duplex,2,2,4,2077649.4
7029,Bauchi,Mansion,1,3,1,2972028.5
3537,Bayelsa,Bungalow,7,2,2,2691431.0
8590,Gombe,Flat,9,2,4,3442251.8
2974,Bayelsa,Apartment,5,2,1,1973155.0
431,Lagos,Detached duplex,3,2,1,2119187.0
12647,Enugu,Detached duplex,6,1,5,2741286.8
2062,Rivers,Detached duplex,5,2,1,2602412.2
8040,Yobe,Flat,6,6,2,2975528.0
7744,Bauchi,Mansion,1,3,4,3257790.5
6155,Sokoto,Detached duplex,7,7,4,2581401.8
98,Anambra,Flat,5,1,1,1742929.6
3514,Ekiti,Terrace duplex,2,6,1,1538354.2
776,Imo,Detached duplex,2,1,2,1617547.0
3678,Yobe,Bungalow,1,2,2,1596471.5
2529,Sokoto,Townhouse,1,6,1,1103958.1
1806,Benue,Townhouse,5,3,4,1947383.0
6359,Kano,Bungalow,3,1,2,919027.5
200,Borno,Flat,2,1,1,1275937.6
1477,Zamfara,Bungalow,9,4,6,2650995.8
1679,Bayelsa,Terrace duplex,4,6,3,2474506.5
2323,Edo,Penthouse,1,6,4,2492178.5
917,Nasarawa,Cottage,3,2,2,1238980.8
430,Ebonyi,Apartment,3,1,2,1254456.1
3723,Kano,Cottage,3,2,2,896801.25
6665,Jigawa,Semi-detached duplex,3,6,1,1395442.2
2719,Niger,Townhouse,1,1,3,1149006.0
10429,Jigawa,Flat,2,6,1,1134540.4
428,Delta,Townhouse,2,1,2,1676181.4
3995,Delta,Cottage,2,1,1,1254716.9
393,Niger,Terrace duplex,1,1,1,1006140.56
2336,Kano,Flat,7,4,1,1858606.4
2107,Nasarawa,Apartment,2,2,3,1122711.5
1242,Taraba,Bungalow,1,1,2,992873.1
7616,Delta,Penthouse,1,5,4,2243597.0
11586,Oyo,Detached duplex,6,4,4,2994398.8
762,Niger,Flat,1,5,1,1030759.1
1677,Ogun,Apartment,3,2,1,1314833.0
9356,Sokoto,Apartment,5,3,5,1472446.4
4810,Enugu,Flat,9,1,3,2714028.0
1643,Zamfara,Penthouse,6,2,1,2349498.8
1977,Rivers,Terrace duplex,4,1,1,1954632.0
1102,Zamfara,Townhouse,3,1,2,1300884.9
2231,Lagos,Cottage,4,2,4,1787412.8
6369,Kebbi,Apartment,8,2,4,1821246.8
8299,Sokoto,Mansion,8,6,5,4326025.0
9088,Osun,Terrace duplex,7,4,3,2691438.8
12140,Yobe,Bungalow,4,2,6,2328775.0
89,Lagos,Mansion,7,4,5,5650299.5
12948,Kano,Penthouse,6,6,3,2671413.2
2387,Lagos,Bungalow,5,1,4,1990837.5
9454,Delta,Detached duplex,5,6,5,3020415.0
10957,Ogun,Townhouse,5,4,6,2523126.5
6075,Borno,Detached duplex,4,4,3,2327629.2
2665,Jigawa,Semi-detached duplex,5,1,2,1456610.9
6511,Nasarawa,Terrace duplex,9,7,2,3034753.5
3180,Jigawa,Terrace duplex,5,1,3,1501716.9
4079,Ogun,Semi-detached duplex,8,4,1,2845373.0
7372,Edo,Penthouse,8,7,5,4669414.5
10509,Yobe,Bungalow,4,4,4,2340165.0
3302,Kebbi,Mansion,3,2,2,2069695.4
10714,Ekiti,Semi-detached duplex,3,6,3,1773053.1
1794,Adamawa,Bungalow,5,1,4,1990837.5
6467,Benue,Semi-detached duplex,5,1,5,1818917.4
10015,Yobe,Bungalow,8,1,4,3276132.2
12005,Ekiti,Terrace duplex,6,3,4,2429460.8
11832,Kwara,Flat,2,6,3,1234371.8
7524,Katsina,Penthouse,4,1,2,2284185.5
680,Ogun,Detached duplex,4,5,6,2482429.2
376,Yobe,Mansion,9,2,5,6879100.0
8563,Imo,Terrace duplex,6,4,1,2269422.8
2826,Gombe,Terrace duplex,1,1,4,2031945.2
11426,Cross River,Semi-detached duplex,9,2,6,3591647.8
6426,Kebbi,Penthouse,6,3,1,2323493.0
649,Ogun,Mansion,5,2,4,3951928.2
2190,Oyo,Townhouse,4,3,3,2126901.2
11071,Imo,Semi-detached duplex,8,1,4,2696605.5
738,Abia,Cottage,2,2,4,1422730.1
3915,Taraba,Detached duplex,9,7,6,3445638.0
2056,Enugu,Bungalow,4,2,2,1572347.1
11297,Abia,Terrace duplex,7,1,4,2742113.0
2113,Katsina,Terrace duplex,5,5,6,2201199.0
1235,Katsina,Semi-detached duplex,1,2,2,1181427.6
12351,Ebonyi,Flat,8,2,5,2519762.2
995,Taraba,Cottage,2,1,1,1129194.0
857,Oyo,Flat,4,2,2,1646921.2
1559,Benue,Terrace duplex,5,1,4,1728404.8
7580,Taraba,Terrace duplex,8,1,5,2647559.8
716,Adamawa,Apartment,1,1,4,1261944.8
3161,Akwa Ibom,Bungalow,5,2,3,2051453.4
6287,Ebonyi,Mansion,3,4,6,3186472.2
3061,Kwara,Semi-detached duplex,4,3,1,1540870.9
2715,Akwa Ibom,Cottage,4,2,1,1720405.8
8652,Kaduna,Detached duplex,8,4,5,3464908.2
8978,Abia,Bungalow,6,4,4,2490555.8
11641,Lagos,Townhouse,9,1,1,3279158.0
4811,Imo,Terrace duplex,6,7,1,2383829.8
132,Ekiti,Mansion,3,1,3,3012101.8
3930,Katsina,Penthouse,2,7,4,2067718.6
12963,Plateau,Penthouse,9,7,6,3829693.8
3625,Plateau,Bungalow,1,3,6,1076651.4
2256,Kaduna,Apartment,5,1,3,1512489.4
11883,Kwara,Terrace duplex,4,5,3,1695834.5
1393,Ogun,Mansion,5,1,3,3419935.8
778,Rivers,Townhouse,4,2,4,2281229.2
333,Niger,Bungalow,2,1,2,1114853.4
2259,Osun,Cottage,3,1,4,1398992.0
4898,Bayelsa,Terrace duplex,7,4,6,3205301.8
975,Niger,Flat,1,1,3,970860.6
2130,Anambra,Penthouse,5,1,3,2705776.2
12336,Kano,Flat,7,4,1,1858606.4
12354,Delta,Detached duplex,7,5,3,3344522.5
1707,Kogi,Terrace duplex,2,2,4,1238800.0
432,Bayelsa,Bungalow,3,3,3,1758676.4
1815,Enugu,Bungalow,4,1,5,1698244.4
12357,Ogun,Flat,4,3,4,1806734.2
11140,Anambra,Penthouse,6,6,6,3488282.8
9197,Anambra,Townhouse,1,3,5,1552855.4
10500,Lagos,Detached duplex,2,2,5,2093000.2
12701,Rivers,Semi-detached duplex,3,4,6,2106404.5
12111,Osun,Mansion,2,3,6,3067467.5
11150,Jigawa,Bungalow,6,6,1,1847517.1
1933,Ekiti,Flat,9,5,3,2766813.2
4617,Rivers,Mansion,5,4,4,5033999.0
12312,Ondo,Townhouse,8,2,3,2837471.2
7129,Ondo,Townhouse,5,3,4,2148232.2
5744,Cross River,Terrace duplex,8,6,3,3493419.8
3903,Kano,Mansion,5,2,3,2466310.0
3017,Enugu,Townhouse,9,1,3,3176829.5
8723,Ogun,Penthouse,8,5,2,3893045.8
3629,Delta,Flat,3,2,1,1543300.5
2638,Benue,Cottage,2,2,3,1018808.7
1632,Yobe,Bungalow,5,5,2,2384659.8
3922,Borno,Detached duplex,3,1,4,1974105.5
2216,Abia,Semi-detached duplex,2,1,3,1459703.6
5267,Gombe,Mansion,9,7,2,6614682.5
11091,Gombe,Townhouse,2,5,2,2177268.5
4964,Cross River,Penthouse,4,1,5,2947210.2
678,Kwara,Flat,1,7,6,1206922.2
4678,Imo,Terrace duplex,1,5,4,1343259.0
9836,Ekiti,Bungalow,4,3,6,1800675.9
8905,Kano,Mansion,4,2,3,2239392.2
3150,Osun,Bungalow,1,3,2,1057923.5
1805,Oyo,Penthouse,4,1,3,2582140.5
11262,Delta,Terrace duplex,2,5,2,1711885.4
8024,Kaduna,Townhouse,9,6,2,3660035.5
12988,Ogun,Apartment,3,5,2,1438853.0
1611,Ondo,Townhouse,1,2,2,1279284.6
3466,Kaduna,Apartment,4,2,1,1532558.5
2127,Gombe,Flat,4,2,2,2292624.8
497,Bayelsa,Flat,8,1,2,2775089.8
1647,Benue,Semi-detached duplex,1,1,3,1048943.1
2848,Plateau,Cottage,2,2,2,1062185.6
293,Ondo,Detached duplex,2,2,2,1641198.4
7256,Oyo,Detached duplex,4,7,2,2446944.2
9063,Ondo,Detached duplex,2,3,1,1594134.6
6441,Edo,Townhouse,6,3,5,3333215.5
47,Oyo,Semi-detached duplex,7,6,3,2882938.5
5323,Adamawa,Apartment,3,5,4,1666716.1
6487,Cross River,Semi-detached duplex,2,3,6,1853609.2
1948,Cross River,Terrace duplex,4,2,3,2167849.8
1659,Bayelsa,Bungalow,5,2,2,2127522.0
1213,Gombe,Detached duplex,2,2,2,2480417.8
11663,Abia,Mansion,4,6,3,4397445.5
3954,Kano,Penthouse,6,5,2,2630365.5
724,Ogun,Apartment,6,4,1,2009868.5
1930,Borno,Penthouse,2,1,1,2058051.1
7833,Niger,Semi-detached duplex,1,3,2,1099306.0
814,Kwara,Terrace duplex,5,2,6,1881916.1
12190,Cross River,Townhouse,1,7,4,1937193.5
4080,Adamawa,Apartment,6,4,6,2361929.2
11344,Kano,Flat,9,1,2,2023321.0
272,Imo,Cottage,4,1,1,1414481.6
10180,Kogi,Bungalow,1,6,1,1065972.8
6099,Nasarawa,Penthouse,7,4,6,3432849.5
5797,Enugu,Apartment,6,1,1,1753488.0
7476,Akwa Ibom,Flat,5,1,6,2240424.0
833,Adamawa,Mansion,2,2,4,3418533.8
5545,Ekiti,Flat,6,7,2,2332518.0
630,Kano,Bungalow,6,7,3,1879407.0
1502,Imo,Semi-detached duplex,3,1,2,1522803.0
12148,Akwa Ibom,Terrace duplex,3,1,2,1809087.6
1605,Adamawa,Townhouse,4,2,3,2255239.2
2365,Edo,Apartment,3,1,1,1481332.4
12494,Ebonyi,Townhouse,5,6,2,2292122.0
6244,Oyo,Terrace duplex,6,5,6,2707144.2
3130,Benue,Detached duplex,2,1,1,1325694.0
1870,Kaduna,Townhouse,2,6,6,2024340.1
10144,Kano,Terrace duplex,3,2,3,1115627.8
3752,Gombe,Bungalow,2,2,4,1682233.1
5798,Kano,Mansion,5,3,5,2938619.2
1765,Yobe,Detached duplex,3,1,4,2899592.8
11929,Ebonyi,Mansion,9,5,6,5556893.5
3241,Ebonyi,Mansion,3,4,2,2910702.8
8324,Ebonyi,Penthouse,8,6,2,3781919.2
2688,Adamawa,Apartment,2,2,5,1465918.5
